"","Country","Technology","h","mean_ut","sd_ut","UtCite"
"1","Afghanistan","Gas",8760,NA,NA,"WRI"
"2","Afghanistan","Hydro",8760,NA,NA,"WRI"
"3","Albania","Hydro",8760,0.376847942971834,3.20493781063927e-17,"WRI"
"4","Albania","Other",8760,0,NA,"WRI"
"5","Algeria","Gas",8760,0.472481958822586,3.36136713363354e-17,"WRI"
"6","Algeria","Hydro",8760,1.20814307458143,NA,"WRI"
"7","Angola","Gas",8760,0,0,"WRI"
"8","Angola","Hydro",8760,0.746764366733151,7.85046229341888e-17,"WRI"
"9","Angola","Oil",8760,3.70149861079147,2.80866677486136e-16,"WRI"
"10","Antarctica","Oil",8760,NA,NA,"WRI"
"11","Antarctica","Wind",8760,NA,NA,"WRI"
"12","Argentina","Coal",8760,0.0948982797606928,8.49837472194074e-18,"WRI"
"13","Argentina","Gas",8760,0.589759766368513,6.46685341399686e-17,"WRI"
"14","Argentina","Hydro",8760,0.472022821081903,4.27052425734415e-17,"WRI"
"15","Argentina","Nuclear",8760,0.372704268616436,3.92523114670944e-17,"WRI"
"16","Argentina","Oil",8760,1.85993001462194,2.45362064645019e-16,"WRI"
"17","Argentina","Other",8760,0,0,"WRI"
"18","Argentina","Solar",8760,0.570776255707762,1.11022302462516e-16,"WRI"
"19","Argentina","Wind",8760,0.393675988914084,5.29278059849587e-17,"WRI"
"20","Armenia","Gas",8760,0.19443636509817,0,"WRI"
"21","Armenia","Hydro",8760,0.235644829299453,1.60246890531964e-17,"WRI"
"22","Armenia","Nuclear",8760,0.750380517503805,NA,"WRI"
"23","Australia","Biomass",8760,NA,NA,"WRI"
"24","Australia","Coal",8760,NA,NA,"WRI"
"25","Australia","Gas",8760,NA,NA,"WRI"
"26","Australia","Hydro",8760,NA,NA,"WRI"
"27","Australia","Oil",8760,NA,NA,"WRI"
"28","Australia","Solar",8760,NA,NA,"WRI"
"29","Australia","Waste",8760,NA,NA,"WRI"
"30","Australia","Wind",8760,NA,NA,"WRI"
"31","Austria","Gas",8760,0.29828375008008,3.92523114670944e-17,"WRI"
"32","Austria","Hydro",8760,0.56407574852278,7.46934733071644e-17,"WRI"
"33","Austria","Wind",8760,4.98910336239103,0,"WRI"
"34","Azerbaijan","Gas",8760,1.10859555606504,1.18687833744435e-16,"WRI"
"35","Azerbaijan","Hydro",8760,0.152363271544167,1.96261557335472e-17,"WRI"
"36","Azerbaijan","Oil",8760,0.00185502283105023,NA,"WRI"
"37","Bahrain","Gas",8760,0.410651435516601,4.96506830649455e-17,"WRI"
"38","Bahrain","Oil",8760,0.109463939450804,NA,"WRI"
"39","Bangladesh","Coal",8760,0.502283105022831,NA,"WRI"
"40","Bangladesh","Gas",8760,0.596349531998627,6.88531090971048e-17,"WRI"
"41","Bangladesh","Hydro",8760,0.291840381179273,NA,"WRI"
"42","Bangladesh","Oil",8760,0.36605486586758,2.9373740229761e-17,"WRI"
"43","Belarus","Gas",8760,0.468088780939621,5.0037075531084e-17,"WRI"
"44","Belgium","Biomass",8760,1.1283444658289,2.22044604925031e-16,"WRI"
"45","Belgium","Coal",8760,1.06917322452152,NA,"WRI"
"46","Belgium","Gas",8760,0.571161135178907,6.23891479533141e-17,"WRI"
"47","Belgium","Hydro",8760,0.123470870214828,9.81307786677359e-18,"WRI"
"48","Belgium","Nuclear",8760,0.64925823166893,1.35973995551052e-16,"WRI"
"49","Belgium","Oil",8760,0.13610818405339,0,"WRI"
"50","Belgium","Waste",8760,1.06439296386685,0,"WRI"
"51","Belgium","Wind",8760,0.6017506326598,3.34744836935923e-17,"WRI"
"52","Benin","Gas",8760,0,NA,"WRI"
"53","Benin","Oil",8760,1.04452054794521,NA,"WRI"
"54","Bhutan","Hydro",8760,NA,NA,"WRI"
"55","Bolivia","Gas",8760,0.664068822497611,7.85046229341888e-17,"WRI"
"56","Bolivia","Hydro",8760,0.57217428260885,7.54248020136969e-17,"WRI"
"57","Bosnia and Herzegovina","Coal",8760,0.651005592324663,6.40987562127855e-17,"WRI"
"58","Bosnia and Herzegovina","Hydro",8760,0.307191754942242,3.79213355752291e-17,"WRI"
"59","Botswana","Coal",8760,0.346291331546023,7.85046229341888e-17,"WRI"
"60","Brazil","Biomass",8760,0.40879261999037,4.3256812197612e-17,"WRI"
"61","Brazil","Coal",8760,1.09353373417668,1.38469139368507e-16,"WRI"
"62","Brazil","Gas",8760,0.820054344219297,6.80837764690375e-17,"WRI"
"63","Brazil","Hydro",8760,0.434825486811839,4.2742041582918e-17,"WRI"
"64","Brazil","Nuclear",8760,0.882150478419495,1.11022302462516e-16,"WRI"
"65","Brazil","Oil",8760,0.488285425154713,5.78984081541115e-17,"WRI"
"66","Brazil","Other",8760,0.279769488541076,NA,"WRI"
"67","Brazil","Solar",8760,0,0,"WRI"
"68","Brazil","Waste",8760,0,0,"WRI"
"69","Brazil","Wind",8760,0.135367997364153,1.61412337818344e-17,"WRI"
"70","Brunei Darussalam","Gas",8760,0.869021459628781,9.06493303673679e-17,"WRI"
"71","Bulgaria","Coal",8760,0.500530484785095,7.0216669371534e-17,"WRI"
"72","Bulgaria","Hydro",8760,0.301013054976423,3.20493781063927e-17,"WRI"
"73","Bulgaria","Nuclear",8760,0.905650684931507,NA,"WRI"
"74","Bulgaria","Wind",8760,0.973978456855169,NA,"WRI"
"75","Burkina Faso","Hydro",8760,NA,NA,"WRI"
"76","Burkina Faso","Oil",8760,NA,NA,"WRI"
"77","Burundi","Hydro",8760,NA,NA,"WRI"
"78","Cambodia","Biomass",8760,0.799086757990868,NA,"WRI"
"79","Cambodia","Coal",8760,0.195081151950812,2.77555756156289e-17,"WRI"
"80","Cambodia","Hydro",8760,0.232580335659137,2.40370335797945e-17,"WRI"
"81","Cambodia","Oil",8760,0.696432222449397,0,"WRI"
"82","Cambodia","Waste",8760,0,0,"WRI"
"83","Cameroon","Gas",8760,0.511415525114155,NA,"WRI"
"84","Cameroon","Hydro",8760,0.918024139615024,0,"WRI"
"85","Cameroon","Oil",8760,1.96850043813576,1.81298660734736e-16,"WRI"
"86","Canada","Biomass",8760,0.211915178639083,2.11711223939835e-17,"WRI"
"87","Canada","Coal",8760,0.756027378569279,8.39249720850315e-17,"WRI"
"88","Canada","Gas",8760,0.353980281091555,3.22652012729239e-17,"WRI"
"89","Canada","Hydro",8760,0.54128913216202,6.28743834550888e-17,"WRI"
"90","Canada","Nuclear",8760,0.862355067519299,8.59975056989852e-17,"WRI"
"91","Canada","Oil",8760,0.388342138482398,1.96261557335472e-17,"WRI"
"92","Canada","Other",8760,15.1826484018265,0,"WRI"
"93","Canada","Solar",8760,0.117701028127865,3.1369599876349e-18,"WRI"
"94","Canada","Wave and Tidal",8760,NA,NA,"WRI"
"95","Canada","Wind",8760,0.212038359807176,2.06619086970647e-17,"WRI"
"96","Cape Verde","Oil",8760,NA,NA,"WRI"
"97","Central African Republic","Hydro",8760,NA,NA,"WRI"
"98","Central African Republic","Oil",8760,NA,NA,"WRI"
"99","Chile","Biomass",8760,1.58401933532443,1.53225334496544e-16,"WRI"
"100","Chile","Coal",8760,0.613464906904984,5.33333889735378e-17,"WRI"
"101","Chile","Gas",8760,0.475185577714108,4.29987528494926e-17,"WRI"
"102","Chile","Hydro",8760,0.411368509534902,4.19624860425158e-17,"WRI"
"103","Chile","Oil",8760,0.178546209007878,2.11986710359483e-17,"WRI"
"104","Chile","Petcoke",8760,0,NA,"WRI"
"105","Chile","Solar",8760,0.106155591534124,1.52023548612203e-17,"WRI"
"106","Chile","Wind",8760,0.183677914628644,2.01951476405393e-17,"WRI"
"107","China","Coal",8760,0.491539765732658,2.72067871200984e-17,"WRI"
"108","China","Gas",8760,0.218677647357376,1.99143672772031e-17,"WRI"
"109","China","Geothermal",8760,0.546720551444217,0,"WRI"
"110","China","Hydro",8760,0.469064283739702,4.27099122797747e-17,"WRI"
"111","China","Nuclear",8760,0.452964154116493,4.4282579559766e-17,"WRI"
"112","China","Oil",8760,0.817468416188228,7.85046229341888e-17,"WRI"
"113","China","Solar",8760,1.10586693566145,6.64024360619009e-17,"WRI"
"114","China","Wind",8760,0.349421406078938,2.39311218411419e-17,"WRI"
"115","Colombia","Coal",8760,0.584789570815591,5.55111512312578e-17,"WRI"
"116","Colombia","Gas",8760,0.47866508557396,3.92523114670944e-17,"WRI"
"117","Colombia","Hydro",8760,0.847774126083059,8.1995404452417e-17,"WRI"
"118","Colombia","Oil",8760,0.100189449140192,NA,"WRI"
"119","Congo, Rep.","Gas",8760,0.267721243748641,5.55111512312578e-17,"WRI"
