"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"1","Access Power and Eren Solar PV Complex","The project entails the construction, development and operation of two PV solar plants, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plants is 100 MW.
Access Power and Eren Holding are developing the project, in which they both hold equal stakes. 

This is a greenfield project initiated on a BOO modality. 

The plants are being procured under the country’s feed in tariff (FIT) round two program, under which developers are qualified to construct power facilities with a pre - determined tariff. Hence, projects is categorized as a license scheme project.  Egypt’s Electricity and Transmission Company will purchase power from the projects under 25-year power purchase agreements. 

The required investment for all three plants stands at  $154.6 million and is being financed with debt and equity, $116 million and $38.6 million respectively. The loans were provided by EBRD and Proparco (AFD) in equal amounts. Financial closure occurred on October 31st, 2017.","Electricity generation","Solar","Egypt, Arab Rep.","100","MW","Middle East and North Africa"
"2","Acciona Benban Rising Sun Energy","The project envisages the construction, development and operation of a PV solar plant with a total capacity of 50 MW. The facility will be located in the Benban 1.8GW PV solar park situated 12 km west of Benban, and 15 km west of the Nile River, in the Aswan Governorate of Upper Egypt. 
The plant is being developed through SPV - RISING SUN ENERGY S.A.E. on behalf of the sponsors.

Acciona Energia SA is the largest shareholder in the project with 38%, followed by TBEA SunOasis wit 24%, and Swicorp, KCC Corporation and Shoaibi Group, each with 12.6%.  TBEA will complete the engineering, procurement and construction (EPC) as well as the operations and maintenance (O&M). 

The project represents a new, greenfield facility launched on a BOO basis. The project companies have already signed long - term purchase agreements with the Egyptian Electricity and Transmission Company (25 years).

Investment of $66 million will be required to develop the project. IFC provides $16.3 million from its own account. The IFC will also syndicate a further $37.5 million to other lenders with the remainder ($12.2 million) being funded in equity. Of the syndicated loan, the Asia Infrastructure Investment Bank will lend $15.5 million, ICBC $20 million and Europe Arabe Bank $2 million.

Project financing closed in October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","50.7","MW","Middle East and North Africa"
"3","Acciona Benban SunRise Energy","The project envisages the construction, development and operation of a PV solar plant with a total capacity of 50 MW. The facility will be located in the Benban 1.8GW PV solar park situated 12 km west of Benban, and 15 km west of the Nile River, in the Aswan Governorate of Upper Egypt. 
The plant is being developed through SPV - SunRise Energy S.A.E on behalf of the sponsors.

Acciona Energia SA is the largest shareholder in the project with 38%, followed by TBEA SunOasis wit 24%, and Swicorp, KCC Corporation and Shoaibi Group, each with 12.6%.  TBEA will complete the engineering, procurement and construction (EPC) as well as the operations and maintenance (O&M). 

The project represents a new, greenfield facility launched on a BOO basis. The project companies have already signed long - term purchase agreements with the Egyptian Electricity and Transmission Company (25 years).

Investment of $66 million will be required to develop the project. IFC provides $16.3 million from its own account. The IFC will also syndicate a further $37.5 million to other lenders with the remainder ($12.2 million) being funded in equity. Of the syndicated loan, the Asia Infrastructure Investment Bank will lend $15.5 million, ICBC $20 million and Europe Arabe Bank $2 million.

Project financing closed in end of October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"4","ACWA Benban Solar PV I","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 50 MW. This is the first of the total 3 plants Acwa is building in Benban. ACWA Benban Solar PV I is undertaking the project on behalf of the sponsors. 
Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $77.5 million and is being financed with debt and equity, $58 million and $19.5 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"5","ACWA Benban Solar PV II","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 20 MW. This is the second of the total 3 plants Acwa is building in Benban. ACWA Benban Solar PV II is undertaking the project on behalf of the sponsors. 
Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $29.4 million and is being financed with debt and equity, $22 million and $7.4 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.","Electricity generation","Solar","Egypt, Arab Rep.","10","MW","Middle East and North Africa"
"6","ACWA Benban Solar PV III","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 50 MW. This is the third plant of the ACWA Benban portfolio. ACWA Benban Solar PV III is undertaking the project on behalf of the sponsors. 

Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $80.8 million and is being financed with debt and equity, $60.6 million and $20.2 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.","Electricity generation","Solar","Egypt, Arab Rep.","80","MW","Middle East and North Africa"
"7","Ado Popinhaki Small Hydro Power Plant","In June 2014, the Brazilian company Companhia Energetica Canoas (CEC), a partnership of Ritmo Energia (57%), Pattac Empreendimentos e Participacoes (19%), Servinoga SL (19%) and a small local investor (5%), was granted the 35-year contract to build and operate the Ado Popinhak Small Hydro Power Plant (19.3 MW), located at the municipality of Curitibanos, state of Santa Catarina (Canoas River). The power plant was named PCH Ado Popinhak.

In December 2013, the company had been granted power purchase agreements to sell electricity to distribution companies starting in 2018. The company presented a winning bid of US$ 57.7/MWh (BRL 135,9/MWh).

The investment committed to the power plant was estimated at US$ 28.7 million (BRL 99 million). In 2014, PCH Ado Popinhak was awarded an environmental license to commence the constructions. Construction works commenced in May 2016 and were in its final stages as of June 2017. Financial closure was achieved in March 2017, when a US$ 18.9 million (BRL 60 million) 1-year-6-month term loan was provided by the Brazilian bank Itau. The remaining cost was equity financed.

The company was granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.","Electricity generation","Hydro","Brazil","20","MW","Latin America and the Caribbean"
"8","AES El Salvador Solar Portfolio","AES El Salvador and Central-American company Corporacion Multi Inversiones (CMI) are partnering up to develop a 100-MW solar project in El Savador. The project will be developed in the municipalities of Pasaquina, La Unión and El Carmen, in the department of La Union. The installations are expected to start operations in March, May and July 2018, respectively. The 100 MW project will be built by Spanish company Isotron, while the installation will be operated by AES Soluciones.

The site will be developed in three phases — with a total investment of US$160 million dollars. Bosporus I projects will have a generation capacity of 3 x 10 MW. The second phase, Bosporus II, will generate 40 MW of energy, while Bosporus III will have a total generation capacity of 30 MW. These projects will be built over a period of two years.
The contract for development of the plants was granted following a competitive bidding process based on lowest tariff per unit of energy. The plants will benefit from 20-year PPA with local distribution companies. 

Out of the total investment of $160 million, $112 million will be provided by multinational DFIs, including OPIC which provides $29.5 million. FinnFund provided $15 million, and the remaining debt financing was provided by the Central American Bank for Economic Integration (CABEI) and the Netherlands Development Finance Company (FMO). Financial closure occurred on September 12th, 2017.","Electricity generation","Solar","El Salvador","100","MW","Latin America and the Caribbean"
"9","Afrinergia Power","The project entails the development and operation of a 50 MW solar PV plant in Onyi, Kokona Local Government Area of Nasarawa. The project is being undertaken by Afrinergia Power Ltd. as a sponsor and supported by AEE Power as EPC contractor.  The plant will generate 114.56 GWh per year and will be connected to the national grid through the Keffi-Akwanga section of the 132-kV Karu-Keffi-Akwanga national grid. 

In June 2016, power purchase agreement (PPAs) was signed between the sponsor and the Nigerian Bulk Electricity Trading Plc (NBET).
This is a greenfield project initiated on a BOO modality.

Total investment cost was reported at $70 million with financial closure having reached in November 4th, 2017. Financial information regarding debt and equity is not available.","Electricity generation","Solar","Nigeria","50","MW","Sub-Saharan Africa"
"10","Al Subh Solar PV Plant","The project entails the construction, development and operation of a 50 MW solar plant in Benban site, Upper - Egypt. AL SUBH SOLAR POWER S.A.E is the project company that is leading the project.

This is a greenfield project initiated on a BOO modality. Egypt’s Electricity Transmission Company will offtake the output under a 25-year power purchase agreement on a predetermined tariff rates. 

Acciona and Swicorp are sponsoring the project and hold 50% each. The equity contribution of the sponsors is $12.2  million.

Investment requirement  is estimated at $66 million ad is being funded via debt and equity, $53.8 million and $12.2 million, respectively. Lenders are IFC with $16.3 million from its own account, and syndicated a further $37.5 million to ICBC, Europe Arab Bank and Asian Infrastructure Investment Bank. Financing was closed on 29 October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","19.8","MW","Middle East and North Africa"
