,Country,Technology,Project.Name,Sub.sector,Capacity,Capacity.Unit,Region,Time,EmiF,EmUnits,EmCite,h,mean_ut,sd_ut,UtCite
226,Sudan,Steam,Construction of El Bagair Power Generating Station,Electricity Generation,350,MW,Middle East and North Africa,NA,90.7,kg CO2 per mmBtu,EPA,NA,NA,NA,NA
65,China,Waste,Dynagreen 610MW Waste-to-Energy Project,Electricity Generation,69.7,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
66,China,Waste,Funing County Xinhua Town Solid Waste Pyrolysis Gasification Power Plant,Electricity generation,5.25,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
41,China,Biomass,Guangxi Qiquan Biomass Power Plant,Electricity generation,80,MW,East Asia and Pacific,NA,105.51,kg CO2 per mmBtu,EPA,NA,0.618,NA,EIA
67,China,Waste,Hechi City Urban and Rural Solid Waste Incineration Power Plant,Electricity generation,22,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
154,"Iran, Islamic Rep.",Steam,Hormozgan’s power plant,Electricity Generation,1400,MW,Middle East and North Africa,NA,90.7,kg CO2 per mmBtu,EPA,NA,NA,NA,NA
215,Rwanda,Biomass,HQ Peat-fired Power Plant,Electricity generation,80,MW,Sub-Saharan Africa,NA,111.84,kg CO2 per mmBtu,EPA,NA,0.618,NA,EIA
68,China,Waste,Kunming Wuhua Solid Waste Incineration Power Plant Relocation Project,Electricity generation,50,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
69,China,Waste,Puyang Solid Waste Incineration Power Plant,Electricity generation,37.6,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
137,India,Steam,Sagardighi thermal power station Unit 5 Phase III,Electricity Generation,660,MW,South Asia,NA,90.7,kg CO2 per mmBtu,EPA,NA,NA,NA,NA
235,Turkey,Biogas,Seleda Biogas Facility,Electricity generation,5,MW,Europe and Central Asia,NA,52.07,kg CO2 per mmBtu,EPA,NA,0.618,NA,EIA
71,China,Waste,Tae Basin Solid Waste Incineration Power Plant,Electricity generation,30,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
230,Thailand,Waste,Thailand Waste-to-Energy Plant,Electricity generation,9,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
73,China,Waste,Tieling Solid Waste Incineration Power Plant,Electricity generation,50,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
70,China,Waste,Tumen City Solid Waste Incineration Power Plant,Electricity generation,20.8,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
76,China,Waste,Wenxi County Solid Waste Incineration Power Plant,Electricity generation,12,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
107,"Egypt, Arab Rep.",Steam,West Cairo Power Station Expansion 650 MW ,Electricity Generation,650,MW,Middle East and North Africa,NA,90.7,kg CO2 per mmBtu,EPA,NA,NA,NA,NA
72,China,Waste,Wulanchabu Ctiy Jining District Solid Waste Incineration Power Plant,Electricity generation,22.6,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
74,China,Waste,Wuyi County Solid Waste Incineration Power Plant,Electricity generation,50,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
136,India,Steam,Yadadri supercritical thermal power ,Electricity Generation,4000,MW,South Asia,NA,90.7,kg CO2 per mmBtu,EPA,NA,NA,NA,NA
42,China,Biomass,Yushu City Kaidi Biomass Cogeneration Power Plant,Electricity generation,50,MW,East Asia and Pacific,NA,105.51,kg CO2 per mmBtu,EPA,NA,0.618,NA,EIA
75,China,Waste,Zhijin County Urban Solid Waste Incineration Power Plant,Electricity generation,40,MW,East Asia and Pacific,NA,90.7,kg CO2 per mmBtu,EPA,NA,0.72,NA,Naderi 2020
158,Jordan,Shale,Attarat Oil Shale-Fired Power Plant,Electricity generation,470,MW,Middle East+Africa,NA,688.056,gCO2 per kWh,IEA,NA,5.037772837,NA,WRI
194,Mozambique,Natural Gas,Central Termica de Ressano Garcia,Electricity,175,MW,Middle East+Africa,2015,473.056,gCO2 per kWh,IEA,NA,0.6,NA,BU
204,Pakistan,Coal,China Power Hub Generation Company,Electricity generation,1320,MW,South Asia,2015,2397.3,gCO2 per kWh,IEA,8760,0.006023636,7.08E-19,WRI
142,Indonesia,Coal,Cirebon 2 Coal - Fired Power Plant,Electricity generation,1000,MW,East Asia and Pacific,2015,968.78,gCO2 per kWh,IEA,8760,0.468296106,4.63E-17,WRI
239,Vietnam,Coal,Duyen Hai 2 Thermal Power Plant,Electricity generation,1200,MW,East Asia and Pacific,2015,1195.756,gCO2 per kWh,IEA,8760,0.279330828,2.00E-17,WRI
149,Indonesia,Natural Gas,Gas-Fired Power Plant,Electricity Generation,9735,MW,Rest of Asia,2015,509.789,gCO2 per kWh,IEA,NA,0.6,NA,BU
213,Philippines,Coal,GNPower Dinginin Unit 2,Electricity generation,668,MW,East Asia and Pacific,2015,1081.835,gCO2 per kWh,IEA,8760,0.432156457,3.55E-17,WRI
241,Zimbabwe,Coal,Hwange Power Station Expansion,Electricity Generation,600,MW,Sub-Saharan Africa,2015,1546.8,gCO2 per kWh,IEA,8760,0.545587651,NA,WRI
4,Algeria,Natural Gas,Kais Combined Cycle Gas-Fired Power Plant 1266 MW,Electricity Generation,1266,MW,Middle East+Africa,2015,523.487,gCO2 per kWh,IEA,NA,0.6,NA,BU
144,Indonesia,Coal,KalSel Coal-Fired Power Plant,Electricity generation,200,MW,East Asia and Pacific,2015,968.78,gCO2 per kWh,IEA,8760,0.468296106,4.63E-17,WRI
174,Mali,Oil,Kayes Thermal Power Plant,Electricity generation,90,MW,Middle East+Africa,2015,1444.477,gCO2 per kWh,IEA,NA,0.6,NA,BU
116,India,Coal,Kolaghat coal plant rehabilitation Stage I,Electricity Generation,630,MW,India,2015,968.753,gCO2 per kWh,IEA,8760,0.6,NA,BU
219,Serbia,Coal,Kostolac B coal-fired power plant Unit 3 Phase 2,Electricity Generation,350,MW,Europe and Central Asia,2015,1042.126,gCO2 per kWh,IEA,8760,0.45444779,4.69E-17,WRI
145,Indonesia,Coal,Mine-Mouth Coal-Fired Power Plants (PLTU),Electricity Generation,7550,MW,East Asia and Pacific,2015,968.78,gCO2 per kWh,IEA,8760,0.468296106,4.63E-17,WRI
234,Tunisia,Natural Gas,Mornaguia Gas Turbine Power Plant 660 MW,Electricity Generation,660,MW,Middle East+Africa,2015,470.364,gCO2 per kWh,IEA,NA,0.6,NA,BU
196,Myanmar,Natural Gas,Myingyan Gas-Fired Power Plant,Electricity generation,225,MW,Rest of Asia,2015,728603,gCO2 per kWh,IEA,NA,0.6,NA,BU
178,Mexico,Natural Gas,Norte III CCGT Power Plant,Electricity generation,907,MW,Latin America+Canada,2015,436.168,gCO2 per kWh,IEA,NA,0.6,NA,BU
176,Mexico,Natural Gas,Nuevo Leon combined cycle plant,Electricity generation,866,MW,Latin America+Canada,2015,436.168,gCO2 per kWh,IEA,NA,0.6,NA,BU
24,Brazil,Natural Gas,Prosperidade I Thermal Power Plant,Electricity generation,20,MW,Latin America+Canada,2015,458.951,gCO2 per kWh,IEA,NA,0.6,NA,BU
9,Argentina,Natural Gas,Santa Fe Gas-Fired Plant,Electricity generation,200,MW,Latin America+Canada,2015,494.15,gCO2 per kWh,IEA,NA,0.6,NA,BU
10,Argentina,Natural Gas,Stoneway Capital Portfolio,Electricity generation,686,MW,Latin America+Canada,2015,494.15,gCO2 per kWh,IEA,NA,0.6,NA,BU
143,Indonesia,Coal,Sumsel 1,Electricity generation,600,MW,East Asia and Pacific,2015,968.78,gCO2 per kWh,IEA,8760,0.468296106,4.63E-17,WRI
141,Indonesia,Coal,Tanjung Jati B Coal-Fired Power Plant (Units 5 & 6),Electricity generation,2000,MW,East Asia and Pacific,2015,968.78,gCO2 per kWh,IEA,8760,0.468296106,4.63E-17,WRI
177,Mexico,Natural Gas,Tierra Mojada CCGT Power Plant,Electricity generation,874,MW,Latin America+Canada,2015,436.168,gCO2 per kWh,IEA,NA,0.6,NA,BU
218,Senegal,Oil,Tobene Oil-Fired Power Plant,Electricity generation,9,MW,Sub-Saharan Africa,2015,711.577,gCO2 per kWh,IEA,8760,0.756327675,1.11E-16,WRI
8,Argentina,Natural Gas,Tucuman & Loma Capana II Thermal Power Plants,Electricity generation,374,MW,Latin America+Canada,2015,494.15,gCO2 per kWh,IEA,NA,0.6,NA,BU
21,Bosnia and Herzegovina,Coal,Tuzla Unit 7 coal-fired power station,Electricity Generation,450,MW,Europe and Central Asia,2015,1401.78,gCO2 per kWh,IEA,8760,0.651005592,6.41E-17,WRI
97,"Egypt, Arab Rep.",Solar,Access Power and Eren Solar PV Complex,Electricity generation,100,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
84,"Egypt, Arab Rep.",Solar,Acciona Benban Rising Sun Energy,Electricity generation,50.7,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
85,"Egypt, Arab Rep.",Solar,Acciona Benban SunRise Energy,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
86,"Egypt, Arab Rep.",Solar,ACWA Benban Solar PV I,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
100,"Egypt, Arab Rep.",Solar,ACWA Benban Solar PV II,Electricity generation,10,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
101,"Egypt, Arab Rep.",Solar,ACWA Benban Solar PV III,Electricity generation,80,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
22,Brazil,Hydro,Ado Popinhaki Small Hydro Power Plant,Electricity generation,20,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.434825487,4.27E-17,WRI
109,El Salvador,Solar,AES El Salvador Solar Portfolio,Electricity generation,100,MW,Latin America and the Caribbean,NA,0,NA,NA,NA,0.16,NA,IEA
203,Nigeria,Solar,Afrinergia Power,Electricity generation,50,MW,Sub-Saharan Africa,NA,0,NA,NA,NA,0.16,NA,IEA
102,"Egypt, Arab Rep.",Solar,Al Subh Solar PV Plant,Electricity generation,19.8,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
87,"Egypt, Arab Rep.",Solar,Alcazar Energy Solar Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
88,"Egypt, Arab Rep.",Solar,Alfa Solar Binban Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
221,Serbia,Wind,Alibunar Wind Farm,Electricity generation,98.7,MW,Europe and Central Asia,NA,0,NA,NA,NA,0.335,NA,IEA
188,Mexico,Wind,Amistad Wind Farm,Electricity generation,200,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.462289919,3.82E-17,WRI
57,China,Solar,Anhui floating Solar Plant,Electricity Generation,150,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
89,"Egypt, Arab Rep.",Solar,ARC Benban Solar Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
90,"Egypt, Arab Rep.",Solar,Arinna Benban Solar Plant,Electricity generation,30,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
91,"Egypt, Arab Rep.",Solar,Aten Solar PV Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
212,Peru,Hydro,Ayanunga hydro plant,Electricity generation,12,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.926421152,8.15E-17,WRI
45,China,Hydro,Baihetan hydropower station,Electricity Generation,16000,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.469064284,4.27E-17,WRI
125,India,Solar,"Bandel, Kolaghat & Bakreswar rooftop power units",Electricity Generation,10,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
240,Zambia,Solar,Bangweulu Solar PV Plant,Electricity generation,9,MW,Sub-Saharan Africa,NA,0,NA,NA,NA,0.16,NA,IEA
49,China,Solar,Baoji City Chencang District Longxing 50MW Solar Power Plant,Electricity generation,70,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
159,Jordan,Solar,Baynouna Solar PV Plant,Electricity generation,200,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
