"","X","Country","Technology","Project.Name","Sub.sector","Capacity","Capacity.Unit","Region","Time","EmiF","EmUnits","EmCite","h","mean_ut","sd_ut","UtCite","GtC","generation.TW"
"1",158,"Jordan","Shale","Attarat Oil Shale-Fired Power Plant","Electricity generation",470,"MW","Middle East+Africa",NA,688.056,"gCO2 per kWh","IEA",8760,5.037772837,NA,"WRI",0.0142713261322797,20.7415183244964
"2",194,"Mozambique","Natural Gas","Central Termica de Ressano Garcia","Electricity",175,"MW","Middle East+Africa",2015,473.056,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.0004351169088,0.9198
"3",204,"Pakistan","Coal","China Power Hub Generation Company","Electricity generation",1320,"MW","South Asia",2015,2397.3,"gCO2 per kWh","IEA",8760,0.006023636,7.08e-19,"WRI",0.000166977956937433,0.0696525077952
"4",142,"Indonesia","Coal","Cirebon 2 Coal - Fired Power Plant","Electricity generation",1000,"MW","East Asia and Pacific",2015,968.78,"gCO2 per kWh","IEA",8760,0.468296106,4.63e-17,"WRI",0.00397420089775916,4.10227388856
"5",239,"Vietnam","Coal","Duyen Hai 2 Thermal Power Plant","Electricity generation",1200,"MW","East Asia and Pacific",2015,1195.756,"gCO2 per kWh","IEA",8760,0.279330828,2e-17,"WRI",0.00351112903060546,2.936325663936
"6",149,"Indonesia","Natural Gas","Gas-Fired Power Plant","Electricity Generation",9735,"MW","Rest of Asia",2015,509.789,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.02608445532924,51.16716
"7",213,"Philippines","Coal","GNPower Dinginin Unit 2","Electricity generation",668,"MW","East Asia and Pacific",2015,1081.835,"gCO2 per kWh","IEA",8760,0.432156457,3.55e-17,"WRI",0.00273578902378029,2.52884129629776
"8",241,"Zimbabwe","Coal","Hwange Power Station Expansion","Electricity Generation",600,"MW","Sub-Saharan Africa",2015,1546.8,"gCO2 per kWh","IEA",8760,0.545587651,NA,"WRI",0.0044356171273471,2.867608693656
"9",4,"Algeria","Natural Gas","Kais Combined Cycle Gas-Fired Power Plant 1266 MW","Electricity Generation",1266,"MW","Middle East+Africa",2015,523.487,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.003483332752752,6.654096
"10",144,"Indonesia","Coal","KalSel Coal-Fired Power Plant","Electricity generation",200,"MW","East Asia and Pacific",2015,968.78,"gCO2 per kWh","IEA",8760,0.468296106,4.63e-17,"WRI",0.000794840179551831,0.820454777712
"11",174,"Mali","Oil","Kayes Thermal Power Plant","Electricity generation",90,"MW","Middle East+Africa",2015,1444.477,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.00068329540008,0.47304
"12",116,"India","Coal","Kolaghat coal plant rehabilitation Stage I","Electricity Generation",630,"MW","India",2015,968.753,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.00320781243384,3.31128
"13",219,"Serbia","Coal","Kostolac B coal-fired power plant Unit 3 Phase 2","Electricity Generation",350,"MW","Europe and Central Asia",2015,1042.126,"gCO2 per kWh","IEA",8760,0.45444779,4.69e-17,"WRI",0.00145203263540632,1.39333692414
"14",145,"Indonesia","Coal","Mine-Mouth Coal-Fired Power Plants (PLTU)","Electricity Generation",7550,"MW","East Asia and Pacific",2015,968.78,"gCO2 per kWh","IEA",8760,0.468296106,4.63e-17,"WRI",0.0300052167780816,30.972167858628
"15",234,"Tunisia","Natural Gas","Mornaguia Gas Turbine Power Plant 660 MW","Electricity Generation",660,"MW","Middle East+Africa",2015,470.364,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.00163167390144,3.46896
"16",196,"Myanmar","Natural Gas","Myingyan Gas-Fired Power Plant","Electricity generation",225,"MW","Rest of Asia",2015,728603,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.8616459078,1.1826
"17",178,"Mexico","Natural Gas","Norte III CCGT Power Plant","Electricity generation",907,"MW","Latin America+Canada",2015,436.168,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.002079296600256,4.767192
"18",176,"Mexico","Natural Gas","Nuevo Leon combined cycle plant","Electricity generation",866,"MW","Latin America+Canada",2015,436.168,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.001985304140928,4.551696
"19",24,"Brazil","Natural Gas","Prosperidade I Thermal Power Plant","Electricity generation",20,"MW","Latin America+Canada",2015,458.951,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",4.824492912e-05,0.10512
"20",9,"Argentina","Natural Gas","Santa Fe Gas-Fired Plant","Electricity generation",200,"MW","Latin America+Canada",2015,494.15,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.00051945048,1.0512
"21",10,"Argentina","Natural Gas","Stoneway Capital Portfolio","Electricity generation",686,"MW","Latin America+Canada",2015,494.15,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.0017817151464,3.605616
"22",143,"Indonesia","Coal","Sumsel 1","Electricity generation",600,"MW","East Asia and Pacific",2015,968.78,"gCO2 per kWh","IEA",8760,0.468296106,4.63e-17,"WRI",0.00238452053865549,2.461364333136
"23",141,"Indonesia","Coal","Tanjung Jati B Coal-Fired Power Plant (Units 5 & 6)","Electricity generation",2000,"MW","East Asia and Pacific",2015,968.78,"gCO2 per kWh","IEA",8760,0.468296106,4.63e-17,"WRI",0.00794840179551831,8.20454777712
"24",177,"Mexico","Natural Gas","Tierra Mojada CCGT Power Plant","Electricity generation",874,"MW","Latin America+Canada",2015,436.168,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.002003644132992,4.593744
"25",218,"Senegal","Oil","Tobene Oil-Fired Power Plant","Electricity generation",9,"MW","Sub-Saharan Africa",2015,711.577,"gCO2 per kWh","IEA",8760,0.756327675,1.11e-16,"WRI",4.24305352010056e-05,0.059628873897
"26",8,"Argentina","Natural Gas","Tucuman & Loma Capana II Thermal Power Plants","Electricity generation",374,"MW","Latin America+Canada",2015,494.15,"gCO2 per kWh","IEA",8760,0.6,NA,"BU",0.0009713723976,1.965744
"27",21,"Bosnia and Herzegovina","Coal","Tuzla Unit 7 coal-fired power station","Electricity Generation",450,"MW","Europe and Central Asia",2015,1401.78,"gCO2 per kWh","IEA",8760,0.651005592,6.41e-17,"WRI",0.00359733761112732,2.566264043664
"28",97,"Egypt, Arab Rep.","Solar","Access Power and Eren Solar PV Complex","Electricity generation",100,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.14016
"29",84,"Egypt, Arab Rep.","Solar","Acciona Benban Rising Sun Energy","Electricity generation",50.7,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07106112
"30",85,"Egypt, Arab Rep.","Solar","Acciona Benban SunRise Energy","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"31",86,"Egypt, Arab Rep.","Solar","ACWA Benban Solar PV I","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"32",100,"Egypt, Arab Rep.","Solar","ACWA Benban Solar PV II","Electricity generation",10,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.014016
"33",101,"Egypt, Arab Rep.","Solar","ACWA Benban Solar PV III","Electricity generation",80,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.112128
"34",22,"Brazil","Hydro","Ado Popinhaki Small Hydro Power Plant","Electricity generation",20,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.434825487,4.27e-17,"WRI",0,0.0761814253224
"35",109,"El Salvador","Solar","AES El Salvador Solar Portfolio","Electricity generation",100,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.14016
"36",203,"Nigeria","Solar","Afrinergia Power","Electricity generation",50,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"37",102,"Egypt, Arab Rep.","Solar","Al Subh Solar PV Plant","Electricity generation",19.8,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.02775168
"38",87,"Egypt, Arab Rep.","Solar","Alcazar Energy Solar Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"39",88,"Egypt, Arab Rep.","Solar","Alfa Solar Binban Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"40",221,"Serbia","Wind","Alibunar Wind Farm","Electricity generation",98.7,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.335,NA,"IEA",0,0.28964502
"41",188,"Mexico","Wind","Amistad Wind Farm","Electricity generation",200,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.462289919,3.82e-17,"WRI",0,0.809931938088
"42",57,"China","Solar","Anhui floating Solar Plant","Electricity Generation",150,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.254916
"43",89,"Egypt, Arab Rep.","Solar","ARC Benban Solar Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"44",90,"Egypt, Arab Rep.","Solar","Arinna Benban Solar Plant","Electricity generation",30,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.042048
"45",91,"Egypt, Arab Rep.","Solar","Aten Solar PV Plant","Electricity generation",50,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.07008
"46",212,"Peru","Hydro","Ayanunga hydro plant","Electricity generation",12,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.926421152,8.15e-17,"WRI",0,0.09738539149824
"47",45,"China","Hydro","Baihetan hydropower station","Electricity Generation",16000,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.469064284,4.27e-17,"WRI",0,65.74405004544
"48",125,"India","Solar","Bandel, Kolaghat & Bakreswar rooftop power units","Electricity Generation",10,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.0194069974692
"49",240,"Zambia","Solar","Bangweulu Solar PV Plant","Electricity generation",9,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.0126144
"50",49,"China","Solar","Baoji City Chencang District Longxing 50MW Solar Power Plant","Electricity generation",70,"MW","East Asia and Pacific",NA,0,NA,NA,8760,0.194,6.64e-17,"He 2016",0,0.1189608
"51",159,"Jordan","Solar","Baynouna Solar PV Plant","Electricity generation",200,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.28032
"52",127,"India","Solar","Bhadla Solar park","Electricity generation",140,"MW","South Asia",NA,0,NA,NA,8760,0.221541067,1.94e-17,"WRI",0,0.2716979645688
"53",25,"Brazil","Solar","BJL11 Solar Power Plant","Electricity generation",20,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.028032
"54",79,"Costa Rica","Geothermal","Borinquen I Geothermal Project","Electricity Generation",55,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.882486938,9.61e-17,"WRI",0,0.4251822067284
"55",175,"Mauritania","Wind","Boulenouar Wind Power Plant","Electricity Generation",100,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.335,NA,"IEA",0,0.29346
"56",35,"Bulgaria","Hydro","Bulgaria hydropower system rehabilitation project","Electricity Generation",1313,"MW","Europe and Central Asia",NA,0,NA,NA,8760,0.301013055,3.2e-17,"WRI",0,3.4622160370434
"57",152,"Iran, Islamic Rep.","Nuclear","Bushehr Nuclear Power Plant","Electricity Generation",2100,"MW","Middle East and North Africa",NA,0,NA,NA,8760,0.510502283,NA,"WRI",0,9.391199998068
"58",238,"Uganda","Hydro","Butama Hydroelectric plant","Electricity generation",3.6,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.43,NA,"EIA",0,0.01356048
"59",5,"Angola","Hydro","Caculo Cabaca hydropower","Electricity Generation",2171,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.746764367,7.85e-17,"WRI",0,14.2019348610313
"60",40,"Cameroon","Solar","Cameroon Rural Electrification Programme Phase 2","Electricity Generation",35,"MW","Sub-Saharan Africa",NA,0,NA,NA,8760,0.16,NA,"IEA",0,0.049056
"61",31,"Brazil","Wind","Canoas, Lagoa 1 and Lagoa 2 Wind Power Plants","Electricity generation",90,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.135367997,1.61e-17,"WRI",0,0.1067241288348
"62",11,"Argentina","Solar","Cauchari Solar Plant","Electricity Generation",300,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.570776256,1.11e-16,"WRI",0,1.500000000768
"63",34,"Brazil","Wind","Central Eolica Jau","Electricity generation",50,"MW","Latin America and the Caribbean",NA,0,NA,NA,8760,0.135367997,1.61e-17,"WRI",0,0.059291182686
