Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
East Coast Rail Link,SPI,Transport,Railways,Not Applicable,"The East Coast Rail Link (ECRL) (Malay: Laluan Rel Pantai Timur) is an under construction standard gauge railway link infrastructure project connecting Port Klang on the Straits of Malacca to Pengkalan Kubor in northeast Peninsular Malaysia, connecting the East Coast Economic Region states of Pahang, Terengganu and Kelantan to one another and to Peninsular Malaysia's west coast and Central Region.
The railway link infrastructure project will carry both passengers and freight from the West Coast of Peninsular Malaysia to its East Coast and vice versa",East Asia and Pacific,Upper middle income,1,Malaysia,,08/09/2017,Construction start,Greenfield,,,,,100,0,13100,,,,,,SOE,Malaysia Rail Link Sdn Bhd ,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,2.98E+11,3.15E+11
Fuzhou-Xiamen passenger line,SPI,Transport,Railways,Not Applicable,"The project entails the finance and construction of a line between Fuzhou Station and Zhangzhou Station which is 290 km long, with a design speed of 350 km/h.The sponsor of the project is China Railway Corporation and covers the whole amount of $ 8,393.58 million. Construction started on February 13, 2017.",East Asia and Pacific,Upper middle income,1,China,,13/02/2017,Construction start,Greenfield,National,Not Applicable,290,KM,100,0,8393.58,0,Not Applicable,Not Applicable,8393.58,Not Applicable,SOE,China Railway Corporation,8393.58,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Access Power and Eren Solar PV Complex,PPI,Energy,Electricity generation,"Solar, PV","The project entails the construction, development and operation of two PV solar plants, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plants is 100 MW.
Access Power and Eren Holding are developing the project, in which they both hold equal stakes. 

This is a greenfield project initiated on a BOO modality. 

The plants are being procured under the country’s feed in tariff (FIT) round two program, under which developers are qualified to construct power facilities with a pre - determined tariff. Hence, projects is categorized as a license scheme project.  Egypt’s Electricity and Transmission Company will purchase power from the projects under 25-year power purchase agreements. 

The required investment for all three plants stands at  $154.6 million and is being financed with debt and equity, $116 million and $38.6 million respectively. The loans were provided by EBRD and Proparco (AFD) in equal amounts. Financial closure occurred on October 31st, 2017.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,100,MW,0,100,154.6,116,,,Not Applicable,,Not Applicable,"Access Power MEA ($19.3 / 50% / ..), 

Eren Holding ($19.3 / 50% / ..)",38.6,"EBRD (Multilateral / International / $58), 

Agence Francaise de Developpement (AFD) (Bilateral / International / $58)",58,,0,58,58,0,0,116,0,3.33E+11,95688681,2.36E+11,2.35E+11
Guangzhou-Shanwei Railway,SPI,Transport,Railways,Not Applicable,"The project entails the finance and construction of the Guangzhou-Shanwei railway starts from Xintang Station of Guangzhou-Shenzhen railway to Shanwei Station of Hangzhou-Shenzhen railway in the east with a total length of 206.2 kilometers and 7 newly-built stations. It is designed at the speed of 350 kilometers per hour.The sponsor of the project is China Railway Corporation and covers the whole amount of $ 6,352.8 million. Construction started on July 05, 2017.",East Asia and Pacific,Upper middle income,1,China,,05/07/2017,Construction start,Greenfield,National,Not Applicable,206.2,KM,100,0,6352.8,0,Not Applicable,Not Applicable,6352.8,Not Applicable,SOE,China Railway Corporation,6352.8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Access to Clean Energy Investment Program,SPI,Energy,Electricity Generation,Small Hydro,"The project entails the invetsment in solarization of public health facilities, construction of microhydel power plants (MMHPs) and more renewable energy-based power plants installed. By and large the project entails (i) expanding access to renewable energy, notably micro-hydropower (MHP) plants in rural off-grid areas of KPK, and decentralized solar plants for education and primary health care facilities (PHFs) in KPK and Punjab; (ii) providing women and girls with increased opportunities to obtain energy services and benefits; (iii) enhancing institutional capacity to foster sustainability; and (iv) promoting public sector energy efficiency in Punjab. Total investment in the program is $403.6 million of which ADB will provide $325 million as loan and Agence Francaise de Developpement will ensure further $78.6 million. The remaining will be covered by local governments. Financial close took place on February 7, 2017.",South Asia,Lower middle income,1,Pakistan,,07/02/2017,Financial close,Greenfield,State/provincial,Not Applicable,N/A,Other,100,0,454.3,403.6,0,Not Applicable,50.7,Not Applicable,Public,Provincial governments of Khyber PakhtunKhwa and Punjab,50.7,"ADB(325), Agence Francaise de Developpement(78.6)",403.6,Not Applicable,0,325,78.6,,,403.6,0,2.79E+11,193203476,2.14E+11,3.05E+11
Access to Sustainable Energy Project,SPI,Energy,Electricity Generation,Solar PV,"The project entails rural electrification via solar home systems (SHS) of an estimated 40,500 households and an increase in the renewable energy production via small, grid connected solar power plants. It is expected that 14 MW of new renewable energy generation capacity will be brought on-line as a result of the project interventions. The total project cost is $23.24 million. Implementing agency is the Department of Energy (DOE). Financing is being provided by the European Union-World Bank Trust Fund Access to Sustainable Energy Project (ASEP), supporting solar energy-based electrification and network supply. The project objective is to increase household access to solar powered electricity within select electric cooperative service areas. Financial close took place on November 27, 2017.
",East Asia and Pacific,Lower middle income,1,Philippines,,27/11/2017,Financial close,Greenfield,National,Not Applicable,4050,Households (in thousands),100,0,23.24,Not Applicable,23.24,European Union-World Bank Trust Fund Access to Sustainable Energy Project (ASEP),0,Not Applicable,Public,Department of Energy (DOE),0,Not Applicable,Not Applicable,Not Applicable,0,,,,,0,0,3.05E+11,103320222,2.24E+11,3.14E+11
Acciona Benban Rising Sun Energy,PPI,Energy,Electricity generation,"Solar, PV","The project envisages the construction, development and operation of a PV solar plant with a total capacity of 50 MW. The facility will be located in the Benban 1.8GW PV solar park situated 12 km west of Benban, and 15 km west of the Nile River, in the Aswan Governorate of Upper Egypt. 
The plant is being developed through SPV - RISING SUN ENERGY S.A.E. on behalf of the sponsors.

Acciona Energia SA is the largest shareholder in the project with 38%, followed by TBEA SunOasis wit 24%, and Swicorp, KCC Corporation and Shoaibi Group, each with 12.6%.  TBEA will complete the engineering, procurement and construction (EPC) as well as the operations and maintenance (O&M). 

The project represents a new, greenfield facility launched on a BOO basis. The project companies have already signed long - term purchase agreements with the Egyptian Electricity and Transmission Company (25 years).

Investment of $66 million will be required to develop the project. IFC provides $16.3 million from its own account. The IFC will also syndicate a further $37.5 million to other lenders with the remainder ($12.2 million) being funded in equity. Of the syndicated loan, the Asia Infrastructure Investment Bank will lend $15.5 million, ICBC $20 million and Europe Arabe Bank $2 million.

Project financing closed in October 2017.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,50.7,MW,0,100,66,53.8,,,Not Applicable,,Not Applicable,"RP Global Holdings (Not Available / 35% / ..), 

Georgia Renewable Energy Co (Not Available / 65% / ..)",12.2,"IFC (Multilateral / International / $16.3), 

Industrial & Commercial Bank of China (ICBC) (Public / International / $20), 

Arab Bank (Commercial / International / $2), 

Other Asian Infrastructure Investment Bank (Multilateral / International / $15.5)",20,,2,31.8,0,0,20,53.8,0,3.33E+11,95688681,2.36E+11,2.35E+11
Guanyang-Pingle Expressway,PPI,Transport,Roads,N/A,"On December 29, construction of the Guanyang-Pingle Expressway commenced in Guangxi Zhuang Autonomous Region under a Build Operate Transfer model. The developer was a local private company Xibuzhongda Construction Group, which won the contract through open bidding. The total investment was US$ 1.971 billion (RMB 13.32 billion) and Xiobuzhongda had a 100% stake in it. The total length was 135.647km. The concession term was 30 years.",East Asia and Pacific,Upper middle income,,China,,,,Greenfield,State/Provincial,,135.647,KM,0,100,1971,0,,,Not Available,,Not Applicable,Xibuzhongda Construction Group (Not Available / 100% / ..),Not Available,,0,,0,0,0,0,0,0,0,1.12E+13,1378665000,7.57E+12,1.22E+13
Acciona Benban SunRise Energy,PPI,Energy,Electricity generation,"Solar, PV","The project envisages the construction, development and operation of a PV solar plant with a total capacity of 50 MW. The facility will be located in the Benban 1.8GW PV solar park situated 12 km west of Benban, and 15 km west of the Nile River, in the Aswan Governorate of Upper Egypt. 
The plant is being developed through SPV - SunRise Energy S.A.E on behalf of the sponsors.

Acciona Energia SA is the largest shareholder in the project with 38%, followed by TBEA SunOasis wit 24%, and Swicorp, KCC Corporation and Shoaibi Group, each with 12.6%.  TBEA will complete the engineering, procurement and construction (EPC) as well as the operations and maintenance (O&M). 

The project represents a new, greenfield facility launched on a BOO basis. The project companies have already signed long - term purchase agreements with the Egyptian Electricity and Transmission Company (25 years).

Investment of $66 million will be required to develop the project. IFC provides $16.3 million from its own account. The IFC will also syndicate a further $37.5 million to other lenders with the remainder ($12.2 million) being funded in equity. Of the syndicated loan, the Asia Infrastructure Investment Bank will lend $15.5 million, ICBC $20 million and Europe Arabe Bank $2 million.

Project financing closed in end of October 2017.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,50,MW,0,100,66,53.8,,,Not Applicable,,Not Applicable,"Acciona ($4.6 / 38% / ..), 

Swicorp ($1.566 / 13% / ..), 

KCC Buildcon Private Limited ($1.566 / 13% / ..), 

Others ($2.9 / 24% / ..), 

Others ($1.566 / 13% / ..)",12.2,"IFC (Multilateral / International / $16.3), 

Industrial & Commercial Bank of China (ICBC) (Public / International / $20), 

Arab Bank (Commercial / International / $2), 

Other Asian Infrastructure Investment Bank (Multilateral / International / $15.5)",20,,2,31.8,0,0,20,53.8,0,3.33E+11,95688681,2.36E+11,2.35E+11
ACWA Benban Solar PV I,PPI,Energy,Electricity generation,"Solar, PV","The project entails the construction, development and operation of a PV solar plant, located in Ben Ban, Aswan governorate in Upper Egypt.  The total output of the plant is 50 MW. This is the first of the total 3 plants Acwa is building in Benban. ACWA Benban Solar PV I is undertaking the project on behalf of the sponsors. 
Acwa Power is developing the projects with Chinese partner CHINT Solar and local partner Al-Tawakol Electrical and Hassan Allam Holding. ACWA is considered to hold 51% with the remaining 49% being held by the other 3 sponsors. 

This is a greenfield project initiated on a BOO modality. 

The contract for the development was awarded under the country’s feed in tariff (FIT) round two program. Egypt’s Electricity and Transmission Company will purchase power from the project under 25-year power purchase agreement. 

The required investment stands at  $77.5 million and is being financed with debt and equity, $58 million and $19.5 million, respectively. The loans were provided by Industrial & Commercial Bank of China and EBRD. Project financing closed on October 31st, 2017.
The projects will also receive support from MIGA.",Middle East and North Africa,Lower middle income,,"Egypt, Arab Rep.",,,,Greenfield,National,,50,MW,0,100,77.5,58,,,Not Applicable,,Not Applicable,QALAA holdings ($10.94 / 63% / ..),19.5,"Industrial & Commercial Bank of China (ICBC) (Public / International / $29), 

EBRD (Multilateral / International / $29)",29,,0,29,0,0,29,58,0,3.33E+11,95688681,2.36E+11,2.35E+11
